,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,02/02/10,-9.776533862042443,-9.896139316212025,-10.48964304100924,-9.515493985681307,-9.885581606209874,-9.558972718199708,8.135703683365135e-05,6.101777762523852e-05,6.101777762523852e-05,0.0002033925848081708,8.135703683365135e-05,0.00014237481809686867,8.135703683365135e-05,0.00014237481809686867,0.0001830533292377368,2.0339259208412838e-05,0.00012203555525047705,6.101777762523852e-05,0.0001016962924040854,8.135703683365135e-05,0.00014237481809686867,6.101777762523852e-05,0.0001016962924040854,6.101777762523852e-05,0.00014237481809686867,4.0678518416825675e-05,0.00012203555525047705,6.101777762523852e-05,6.101777762523852e-05,6.101777762523852e-05,2.0339259208412838e-05,8.135703683365135e-05,2.0339259208412838e-05
1,02/03/10,-507.22746975951844,-489.07922419677817,-15549185.978205621,-508.69828736895596,-489.691529992053,-514.4286020772661,0.00012203555525047705,0.00012203555525047705,0.00012203555525047705,0.0001627140736673027,0.00014237481809686867,2.0339259208412838e-05,8.135703683365135e-05,0.0001830533292377368,4.0678518416825675e-05,0.0001016962924040854,4.0678518416825675e-05,2.0339259208412838e-05,0.00012203555525047705,4.0678518416825675e-05,2.0339259208412838e-05,0.0001016962924040854,8.135703683365135e-05,2.0339259208412838e-05,6.101777762523852e-05,0.0,0.0,6.101777762523852e-05,6.101777762523852e-05,4.0678518416825675e-05,2.0339259208412838e-05,4.0678518416825675e-05,2.0339259208412838e-05
2,02/04/10,-10.722068093705529,-11.083949094545263,-11.792532820381501,-10.499442243050298,-11.070217061095642,-10.39100193980737,0.00014237481809686867,6.101777762523852e-05,0.00022373184037860483,0.0001627140736673027,0.00014237481809686867,4.0678518416825675e-05,4.0678518416825675e-05,0.0001627140736673027,0.00012203555525047705,0.00014237481809686867,0.0001627140736673027,4.0678518416825675e-05,8.135703683365135e-05,4.0678518416825675e-05,8.135703683365135e-05,6.101777762523852e-05,0.0001016962924040854,4.0678518416825675e-05,0.00014237481809686867,4.0678518416825675e-05,0.0,4.0678518416825675e-05,8.135703683365135e-05,8.135703683365135e-05,8.135703683365135e-05,4.0678518416825675e-05,2.0339259208412838e-05
3,02/05/10,-451.1929998778619,-438.1501491634006,-18856204.615196414,-447.9142161438071,-436.3708670210112,-475.57406211314947,0.0001830533292377368,8.135703683365135e-05,8.135703683365135e-05,0.0001016962924040854,6.101777762523852e-05,0.00014237481809686867,6.101777762523852e-05,0.0001016962924040854,6.101777762523852e-05,6.101777762523852e-05,8.135703683365135e-05,4.0678518416825675e-05,4.0678518416825675e-05,6.101777762523852e-05,8.135703683365135e-05,6.101777762523852e-05,0.00014237481809686867,6.101777762523852e-05,0.0001830533292377368,4.0678518416825675e-05,4.0678518416825675e-05,2.0339259208412838e-05,8.135703683365135e-05,6.101777762523852e-05,0.0001016962924040854,2.0339259208412838e-05,8.135703683365135e-05
4,02/12/10,-13.61503352858944,-13.785537013668632,-14.54176535244205,-13.399285406712819,-13.91358356084184,-12.999771635166784,0.00026441036607138807,0.00014237481809686867,0.0001016962924040854,0.00022373184037860483,6.101777762523852e-05,8.135703683365135e-05,0.00014237481809686867,0.00012203555525047705,0.0001627140736673027,0.0001830533292377368,0.0001627140736673027,6.101777762523852e-05,6.101777762523852e-05,0.0001016962924040854,0.00014237481809686867,2.0339259208412838e-05,0.0001627140736673027,2.0339259208412838e-05,0.0001016962924040854,4.0678518416825675e-05,0.0001016962924040854,6.101777762523852e-05,2.0339259208412838e-05,2.0339259208412838e-05,0.0001016962924040854,4.0678518416825675e-05,0.0001016962924040854
5,02/16/10,-14.673270921552344,-14.675365343374986,-15.7547754841666,-14.382668521172025,-14.798599303634429,-14.156878671346387,8.135703683365135e-05,0.0001627140736673027,6.101777762523852e-05,0.0001627140736673027,0.0001016962924040854,0.0001016962924040854,0.0001016962924040854,0.00014237481809686867,0.0001627140736673027,0.0,0.00022373184037860483,4.0678518416825675e-05,2.0339259208412838e-05,8.135703683365135e-05,8.135703683365135e-05,4.0678518416825675e-05,6.101777762523852e-05,8.135703683365135e-05,0.0001016962924040854,4.0678518416825675e-05,2.0339259208412838e-05,6.101777762523852e-05,4.0678518416825675e-05,6.101777762523852e-05,6.101777762523852e-05,2.0339259208412838e-05,6.101777762523852e-05
6,02/17/10,-336.96462754321357,-331.8776228996622,-11203099.398792362,-338.7398285199554,-329.3182347404156,-340.1849369818273,4.0678518416825675e-05,0.00012203555525047705,0.00012203555525047705,0.0001627140736673027,8.135703683365135e-05,0.0001016962924040854,0.0002033925848081708,0.00012203555525047705,0.00012203555525047705,8.135703683365135e-05,8.135703683365135e-05,4.0678518416825675e-05,8.135703683365135e-05,8.135703683365135e-05,8.135703683365135e-05,8.135703683365135e-05,6.101777762523852e-05,0.0001016962924040854,0.00014237481809686867,6.101777762523852e-05,4.0678518416825675e-05,4.0678518416825675e-05,0.0,2.0339259208412838e-05,2.0339259208412838e-05,0.0,0.0
7,03/01/10,-265.04617977478534,-263.00886734193625,-9987428.696877008,-264.5293026136383,-261.2204666235749,-270.581633676255,0.0001016962924040854,2.0339259208412838e-05,6.101777762523852e-05,8.135703683365135e-05,8.135703683365135e-05,0.0001830533292377368,8.135703683365135e-05,8.135703683365135e-05,0.00014237481809686867,4.0678518416825675e-05,2.0339259208412838e-05,0.00014237481809686867,8.135703683365135e-05,0.0,6.101777762523852e-05,6.101777762523852e-05,6.101777762523852e-05,4.0678518416825675e-05,6.101777762523852e-05,6.101777762523852e-05,8.135703683365135e-05,2.0339259208412838e-05,2.0339259208412838e-05,6.101777762523852e-05,0.0,0.0,6.101777762523852e-05
8,03/02/10,-19.975749826968332,-19.715338572978784,-24.342054003639298,-19.657101316327097,-19.894384746323574,-18.955764158823463,8.135703683365135e-05,4.0678518416825675e-05,4.0678518416825675e-05,8.135703683365135e-05,2.0339259208412838e-05,0.00012203555525047705,8.135703683365135e-05,8.135703683365135e-05,2.0339259208412838e-05,0.0,0.00014237481809686867,0.0001016962924040854,4.0678518416825675e-05,0.0,6.101777762523852e-05,8.135703683365135e-05,2.0339259208412838e-05,0.0,6.101777762523852e-05,0.0,4.0678518416825675e-05,4.0678518416825675e-05,6.101777762523852e-05,8.135703683365135e-05,4.0678518416825675e-05,6.101777762523852e-05,0.0
9,03/03/10,-255.97165533800586,-255.47191695080198,-7879032.078122079,-256.1291728773093,-253.1213932452425,-261.3746258207477,0.00012203555525047705,0.0001016962924040854,0.00014237481809686867,8.135703683365135e-05,2.0339259208412838e-05,0.00014237481809686867,8.135703683365135e-05,4.0678518416825675e-05,2.0339259208412838e-05,8.135703683365135e-05,0.0001627140736673027,0.00014237481809686867,0.0001830533292377368,2.0339259208412838e-05,6.101777762523852e-05,6.101777762523852e-05,6.101777762523852e-05,2.0339259208412838e-05,0.0001016962924040854,8.135703683365135e-05,8.135703683365135e-05,0.0,4.0678518416825675e-05,2.0339259208412838e-05,2.0339259208412838e-05,6.101777762523852e-05,6.101777762523852e-05
