,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2019-01-01,10923.6,10862.55,159404542,10807.1,10881.7,10913.2,6.983971979934722e-05,0.00013967943959869444,0.00013967943959869444,0.00010475957969902083,6.983971979934722e-05,6.983971979934722e-05,0.00013967943959869444,0.0002444390265736729,0.00020951915939804167,6.983971979934722e-05,0.00017459929222241044,6.983971979934722e-05,0.00017459929222241044,0.0,6.983971979934722e-05,0.00017459929222241044,0.00013967943959869444
1,2019-01-02,10895.35,10910.1,309665939,10735.05,10868.85,10881.7,0.00017459929222241044,0.00010475957969902083,0.00017459929222241044,6.983971979934722e-05,3.491985989967361e-05,6.983971979934722e-05,0.00013967943959869444,0.0002444390265736729,0.00017459929222241044,0.0,0.0002444390265736729,6.983971979934722e-05,0.00013967943959869444,6.983971979934722e-05,6.983971979934722e-05,0.00027935887919738894,0.00013967943959869444
2,2019-01-03,10814.05,10792.5,286241745,10661.25,10796.8,10868.85,0.00013967943959869444,0.00013967943959869444,0.00013967943959869444,3.491985989967361e-05,0.00020951915939804167,0.00013967943959869444,3.491985989967361e-05,3.491985989967361e-05,3.491985989967361e-05,6.983971979934722e-05,0.0003491985844448209,0.00020951915939804167,0.0003841184370685369,6.983971979934722e-05,0.00017459929222241044,0.0003142787318211049,0.00017459929222241044
3,2019-01-04,10741.05,10672.25,296596655,10628.65,10699.7,10796.8,0.00017459929222241044,6.983971979934722e-05,0.00013967943959869444,0.00013967943959869444,6.983971979934722e-05,6.983971979934722e-05,0.00013967943959869444,0.00020951915939804167,0.00013967943959869444,6.983971979934722e-05,0.00013967943959869444,0.00027935887919738894,0.00020951915939804167,6.983971979934722e-05,0.00010475957969902083,0.0002444390265736729,0.00010475957969902083
4,2019-01-07,10835.95,10727.35,269371080,10750.15,10804.85,10699.7,0.00010475957969902083,3.491985989967361e-05,0.00027935887919738894,0.00013967943959869444,0.00027935887919738894,6.983971979934722e-05,6.983971979934722e-05,0.0002444390265736729,0.00010475957969902083,3.491985989967361e-05,0.00010475957969902083,0.00027935887919738894,0.00010475957969902083,0.00010475957969902083,3.491985989967361e-05,0.00017459929222241044,0.0002444390265736729
5,2019-01-08,10818.45,10771.8,277697672,10733.25,10786.25,10804.85,0.0002444390265736729,3.491985989967361e-05,0.00020951915939804167,6.983971979934722e-05,6.983971979934722e-05,0.00010475957969902083,0.00017459929222241044,0.00010475957969902083,0.00017459929222241044,0.0,0.0003142787318211049,0.00013967943959869444,0.00020951915939804167,3.491985989967361e-05,6.983971979934722e-05,0.00027935887919738894,0.00027935887919738894
6,2019-01-09,10870.4,10802.15,333010535,10749.4,10862.4,10786.25,0.0002444390265736729,3.491985989967361e-05,0.00013967943959869444,0.00013967943959869444,0.00013967943959869444,0.00010475957969902083,3.491985989967361e-05,3.491985989967361e-05,0.00017459929222241044,0.0,0.00020951915939804167,0.0002444390265736729,0.0003142787318211049,6.983971979934722e-05,0.0,6.983971979934722e-05,0.00017459929222241044
7,2019-01-10,10859.35,10855.15,254365477,10801.8,10859.35,10862.4,3.491985989967361e-05,0.00013967943959869444,0.00017459929222241044,3.491985989967361e-05,0.00010475957969902083,0.00013967943959869444,0.00017459929222241044,0.00020951915939804167,0.00017459929222241044,0.00013967943959869444,0.00013967943959869444,0.00027935887919738894,0.0002444390265736729,6.983971979934722e-05,6.983971979934722e-05,0.00010475957969902083,0.00020951915939804167
8,2019-01-30,10710.2,10652.2,410107910,10612.85,10702.25,10653.7,0.00017459929222241044,6.983971979934722e-05,0.00020951915939804167,3.491985989967361e-05,6.983971979934722e-05,3.491985989967361e-05,0.00010475957969902083,0.00013967943959869444,0.00013967943959869444,6.983971979934722e-05,0.0002444390265736729,0.00010475957969902083,6.983971979934722e-05,0.00013967943959869444,3.491985989967361e-05,0.00017459929222241044,3.491985989967361e-05
9,2019-01-31,10838.05,10651.8,604818027,10678.55,10690.55,10702.25,3.491985989967361e-05,0.00010475957969902083,0.0002444390265736729,3.491985989967361e-05,3.491985989967361e-05,0.00020951915939804167,0.0,0.00010475957969902083,0.00010475957969902083,6.983971979934722e-05,0.0003841184370685369,0.00017459929222241044,0.00010475957969902083,3.491985989967361e-05,0.0002444390265736729,0.00010475957969902083,6.983971979934722e-05
10,2019-02-01,10983.45,10830.95,482272661,10813.45,10851.35,10690.55,0.0002444390265736729,0.00013967943959869444,0.00010475957969902083,6.983971979934722e-05,6.983971979934722e-05,6.983971979934722e-05,3.491985989967361e-05,0.00010475957969902083,3.491985989967361e-05,0.00010475957969902083,0.0004190383187960833,3.491985989967361e-05,0.0002444390265736729,0.00010475957969902083,0.00017459929222241044,0.0002444390265736729,0.00010475957969902083
