,Date,Headline,Alternate Headline,Link
0,2018-01-01,"
					 					 Govt departments in race to take credit for electric vehicles					 ",Ministries oppose NITI Aayog's EV programme stewardship,https://www.business-standard.com/article/economy-policy/govt-depts-in-race-to-take-credit-for-evs-117123100571_1.html
1,2018-01-01,"
					 					 India Inc to step up investments, increase hiring in 2018: BS CEO Survey					 ","CEOs expect higher sales in 2018 as GST, note ban effect wanes",https://www.business-standard.com/article/companies/bs-ceo-survey-india-inc-to-step-up-investments-increase-hiring-in-2018-117123100532_1.html
2,2018-01-01,"
					 					 After flying over turbulence, SpiceJet looks to soar ahead					 ","Stock gained more than 150% in 2017, giving Ajay Singh a net worth of $789 million",https://www.business-standard.com/article/companies/after-flying-over-turbulence-spicejet-looks-to-soar-ahead-118010100049_1.html
3,2018-01-01,"
					 					 Uber is in investing mode in India: Amit Jain					 ","We have no consolidation plans in India, added Uber India President Amit Jain",https://www.business-standard.com/article/companies/uber-is-in-investing-mode-in-india-amit-jain-118010100044_1.html
4,2018-01-01,"
					 					 Insolvency and Bankruptcy Code: Cleaning the books					 ",The Reserve Bank of India asked banks to refer 12 major non-performing accounts to the National Company Law Tribunal for resolution,https://www.business-standard.com/article/companies/insolvency-and-bankruptcy-code-cleaning-the-books-118010100042_1.html
5,2018-01-01,"
					 					 IRPs spar over Videocon Industries mandate					 ",Lenders invite bids twice; Alvarez & Marsal wins mandate,https://www.business-standard.com/article/companies/irps-spar-over-videocon-industries-mandate-118010100040_1.html
6,2018-01-01,"
					 					 YourQuote: Share your feelings on the tip					 ",This digital platform aims to build a mobile-based digital platform in both English and Indian languages,https://www.business-standard.com/article/companies/yourquote-share-your-feelings-on-the-tip-118010100030_1.html
7,2018-01-01,"
					 					 HomeLane: Furnishing predictability in fit-outs					 ",Accel-backed HomeLane is trying to organise the fixed furniture market by positioning as a reliable alternative,https://www.business-standard.com/article/companies/homelane-furnishing-predictability-in-fit-outs-118010100027_1.html
8,2018-01-01,"
					 					 Map water health of farms, says farmer income panel					 ",The panel has issued released two new volumes of an intended 14-volume report,https://www.business-standard.com/article/economy-policy/map-water-health-of-farms-says-farmer-income-panel-118010100050_1.html
9,2018-01-01,"
					 					 GST: E-way bill system to be implemented from Feb 1					 ",States had also been given the option to exempt movement of goods within 10 km radius:  Official,https://www.business-standard.com/article/economy-policy/gst-e-way-bill-system-to-be-implemented-from-feb-1-118010100047_1.html
10,2018-01-01,"
					 					 2018: The road ahead for Nitin Gadkari					 ","A status check of the key announcements, status and challenges ahead",https://www.business-standard.com/article/economy-policy/2018-the-road-ahead-for-nitin-gadkari-118010100032_1.html
11,2018-01-01,"
					 					 Long road for income tax department in 2018					 ","Sources say the govt has directed the I-T department to increase collections by an additional Rs 20,000 crore to make good the GST shortfall",https://www.business-standard.com/article/economy-policy/long-road-for-income-tax-department-in-2018-118010100026_1.html
12,2018-01-01,"
					 					 Statsguru: Health of rural financial institutions					 ",The RBI data shows that primary agricultural credit societies were in bad shape,https://www.business-standard.com/article/economy-policy/statsguru-health-of-rural-financial-institutions-118010100017_1.html
13,2018-01-01,"
					 					 GST: Knots yet to be untied					 ","ClearTax Chief Executive Officer Archit Gupta said there should be changes in the format of GSTR1, a form for filing supply returns",https://www.business-standard.com/article/economy-policy/gst-knots-yet-to-be-untied-117123100670_1.html
14,2018-01-01,"
					 					 GST: CPI inflation of major commodities					 ",The cess was also raised on luxury cars from the middle of September but the impact was not that much,https://www.business-standard.com/article/economy-policy/gst-cpi-inflation-of-major-commodities-117123100668_1.html
15,2018-01-01,"
					 					 GST refund woes bite exporters					 ","Exporters said a staggering Rs 50,000 crore worth of tax refunds were yet to be released by the Centre and state governments",https://www.business-standard.com/article/economy-policy/gst-refund-woes-bite-exporters-117123100658_1.html
16,2018-01-01,"
					 					 Refinancing, working capital to drive corporate credit demand in 2018					 ",Capex-driven loan demand still a while away,https://www.business-standard.com/article/finance/refinancing-working-capital-to-drive-corporate-credit-demand-118010100036_1.html
17,2018-01-01,"
					 					 If consolidation comes, we will go for geographical synergies: PNB MD & CEO					 ","Interview with Sunil Mehta, MD & CEO, Punjab National Bank",https://www.business-standard.com/article/finance/if-consolidation-comes-we-will-go-for-geographical-synergies-pnb-md-ceo-117123100546_1.html
18,2018-01-01,"
					 					 Oil and gas sector is changing - and so is geopolitics					 ",Book review of 'Windfall',https://www.business-standard.com/article/beyond-business/oil-and-gas-sector-is-changing-and-so-is-geopolitics-117123100657_1.html
19,2018-01-01,"
					 					 Waiting to see what govt does					 ","Most analysts expect our economy to grow between 7 and 7.5 per cent this year, against less than 7 per cent last year",https://www.business-standard.com/article/opinion/waiting-to-see-what-govt-does-118010100024_1.html
20,2018-01-01,"
					 					 Judicial reforms: Will the govt, executive and the judiciary blink?					 ",The govt is passing laws by the dozens but the consequent cost and burden on the judiciary is not estimated,https://www.business-standard.com/article/opinion/judicial-reforms-will-the-govt-executive-and-the-judiciary-blink-118010100020_1.html
21,2018-01-01,"
					 					 The US Factor: How to deal with tax reforms, visa issues in 2018					 ","The US Factor: How to deal with tax reforms, visa issues in 2018",https://www.business-standard.com/article/opinion/the-us-factor-how-to-deal-with-tax-reforms-visa-issues-in-2018-118010100018_1.html
22,2018-01-01,"
					 					 Regulating technology: Minimalism is the new mantra in 2018					 ","In 2018 regulations would slightly catch up in the context of cyber security, cryptocurrencies and artificial intelligence",https://www.business-standard.com/article/opinion/regulating-technology-minimalism-is-the-new-mantra-in-2018-118010100016_1.html
23,2018-01-01,"
					 					 Tax landscape: Focus on ease of compliance, taxpayers' rights in 2018					 ","2018 is expected to take forward the tax reforms agenda, an important indicator for measuring index of doing business",https://www.business-standard.com/article/opinion/tax-landscape-focus-on-ease-of-compliance-taxpayers-rights-in-2018-117123100684_1.html
24,2018-01-01,"
					 					 GST: What 2018 could have in store					 ",The year 2018 may also see a debate about bringing in real estate and petroleum products under the GST,https://www.business-standard.com/article/opinion/gst-what-2018-could-have-in-store-117123100654_1.html
